
// UNIT	SI
// SI (International System of Units) such as MW
//
// Case Data File Format 2.0
//
// NB: Number of Buses
//
// PenaltyWeight: Penalty weight for DC-OPF objective function
//
// MaxCap: Thermal limits
//
// X: Reactance
//
// FCost,a,b: GenCo's cost attributes
//
// capL,capU: GenCo's operating capacity limits


// UNIT	SI
BASE_S	100
BASE_V	10

// Simulation Parameters
MaxDay  	2
RandomSeed 695672061
ThresholdProbability 0.999


#BusDataStart
//      NB	  PenaltyWeight
         8	         0.0500
#BusDataEnd

#LineDataStart
//    Name	      From	        To	         MaxCap	      Reactance
   Line1	         1	         2	     10000.0000	         0.1000
   Line2	         2	         3	     10000.0000	         0.1000
   Line3	         2	         4	     10000.0000	         0.1000
   Line4	         2	         5	     10000.0000	         0.1000
   Line5	         4	         5	     10000.0000	         0.1000
   Line6	         5	         6	     10000.0000	         0.1000
   Line7	         5	         7	     10000.0000	         0.1000
   Line8	         4	         6	     10000.0000	         0.1000
   Line9	         6	         8	     10000.0000	         0.1000
  Line10	         6	         7	     10000.0000	         0.1000
  Line11	         4	         8	     10000.0000	         0.1000
  Line12	         3	         4	     10000.0000	         0.1000
#LineDataEnd

#GenDataStart
//    Name	        ID	     atBus	          FCost	              a	              b	           capL	           capU	      InitMoney
    GenCo1	         1	         1	         0.0000	        10.0000	         0.0050	         0.0000	      1000.0000	   1000000.0000
    GenCo2	         2	         2	         0.0000	        11.0000	         0.0050	         0.0000	      1000.0000	   1000000.0000
    GenCo3	         3	         3	         0.0000	        12.0000	         0.0050	         0.0000	      1000.0000	   1000000.0000
    GenCo4	         4	         4	         0.0000	        13.0000	         0.0050	         0.0000	      1000.0000	   1000000.0000
    GenCo5	         5	         5	         0.0000	        14.0000	         0.0050	         0.0000	      1000.0000	   1000000.0000
    GenCo6	         6	         6	         0.0000	        20.0000	         0.0050	         0.0000	      1000.0000	   1000000.0000
    GenCo7	         7	         7	         0.0000	        25.0000	         0.0092	         0.0000	      1000.0000	   1000000.0000
    GenCo8	         8	         8	         0.0000	        30.0000	         0.0093	         0.0000	      1000.0000	   1000000.0000
#GenDataEnd

#LSEDataFixedDemandStart
//    Name	        ID	     atBus	           H-00	           H-01	           H-02	           H-03	           H-04	           H-05	           H-06	           H-07
    GenCo3	      6000.0000	      1000.0000	         0.0400	         0.9600	         1.0000	         1.0000	         1.0000	         0.7500	         0.7500	         1.0000	         0.0010	         1.0000
    GenCo4	      6000.0000	      1000.0000	         0.0400	         0.9600	         1.0000	         1.0000	         1.0000	         0.7500	         0.7500	         1.0000	         0.0010	         1.0000
    GenCo5	      6000.0000	      1000.0000	         0.0400	         0.9600	         1.0000	         1.0000	         1.0000	         0.7500	         0.7500	         1.0000	         0.0010	         1.0000
    GenCo6	      6000.0000	      1000.0000	         0.0400	         0.9600	         1.0000	         1.0000	         1.0000	         0.7500	         0.7500	         1.0000	         0.0010	         1.0000
    GenCo7	      6000.0000	      1000.0000	         0.0400	         0.9600	         1.0000	         1.0000	         1.0000	         0.7500	         0.7500	         1.0000	         0.0010	         1.0000
    GenCo8	      6000.0000	      1000.0000	         0.0400	         0.9600	         1.0000	         1.0000	         1.0000	         0.7500	         0.7500	         1.0000	         0.0010	         1.0000
#GenLearningDataEnd

#ScucInputDataStart
//  Name    PowerT0 UnitOnT0    MinUpTime   MinDownTime NominalRampUp   NominalRampDown StartupRampLim ShutdownRampLim  Schedule    Schedule2
    GenCo1  0.0000    0           0           0           0             0             0             0             1           1
    GenCo2  1000.0    1           0           0           0             0             0             0             1           1
    GenCo3  0.0000    0           0           0           0             0             0             0             1           1
    GenCo4  1000.0    1           0           0           0             0             0             0             1           1
    GenCo5  0.0000    0           0           0           0             0             0             0             1           1
    GenCo6  1000.0    1           0           0           0             0             0             0             1           1
    GenCo7  0.0000    0           0           0           0             0             0             0             1           1
    GenCo8  1000.0    1           0           0           0             0             0             0             1           1
#ScucInputDataEnd

#GenCostStart
//  Name    NoLoadCost    ColdStartUpCost    HotStartUpCost    ShutDownCostCoefficient
    GenCo1  0.0000    0           0           0
    GenCo2  0.0000    0           0           0
    GenCo3  0.0000    0           0           0
    GenCo4  0.0000    0           0           0
    GenCo5  0.0000    0           0           0
    GenCo6  0.0000    0           0           0
    GenCo7  0.0000    0           0           0
    GenCo8  0.0000    0           0           0
#GenCostEnd
